//Name,ID,DataType,Length,Unit,Remark,SeqNo
ANGLE1_INFO,4101,ASCII,,N/A,Angle1_Info,93
ANGLE2_INFO,4102,ASCII,,N/A,Angle2_Info,94
ANGLE3_INFO,4103,ASCII,,N/A,Angle3_Info,95
ANGLE4_INFO,4104,ASCII,,N/A,Angle4_Info,96
ANGLE5_INFO,4105,ASCII,,N/A,Angle5_Info,97
ANGLE6_INFO,4106,ASCII,,N/A,Angle6_Info,98
ANGLE7_INFO,4107,ASCII,,N/A,Angle7_Info,99
ANGLE8_INFO,4108,ASCII,,N/A,Angle8_Info,100
MEASUREMENT_DATA,4100,LIST,,N/A,Measurement Data,101
RECIPE_TYPE,4110,ASCII,,N/A,Recipe_Type (0: blue tape~Comma~ 1: 1step~Comma~ 2: 2step 3:inline trim2),102
SYS_PP_CHANGE_STATUS_TEXT,4142,ASCII,,N/A,The Process Progeam take action.(Credited~Comma~ Edited~Comma~ Deleted),103
ALLPRJOBSLIST,4150,LIST,,N/A,AllPRJobsList,104
PJPROCESSEDNORMALLY_WAFERCOUNT,4160,UINT_1,,N/A,PJProcessedWaferCount_CompletedNormally,105
CJPROCESSEDNORMALLY_WAFERCOUNT,4162,UINT_1,,N/A,CJProcessedWaferCount_CompletedNormally,106
CJABORTED_WAFERCCOUNT,4163,UINT_1,,N/A,CJAbortedWaferCount,107
STS_SLOTID,4170,ASCII,,N/A,Slot ID,108
SUBSTSTATE_LIST,4171,LIST,,N/A,Subst State List,109
ACTIVE_PRJOBID,4180,ASCII,,N/A,ActivePRJobID,110
ACTIVE_PRJOB_PORTID,4181,UINT_1,,N/A,ActivePRJobPortID,111
ACTIVE_PRJOB_CARRIERID,4182,ASCII,,N/A,ActivePRJobCarrierID,112
ACTIVE_RECIPEID,4183,ASCII,,N/A,ActiveRecipeID,113
ACTIVE_PRJOB_LOTID,4184,ASCII,,N/A,ActivePRJobLotID,114
ACTIVE_CONTROLJOBID,4185,ASCII,,N/A,ActiveControlJobID,115
CHAMBER_ID,4186,ASCII,,N/A,ChamberID,116
STAGE_ID,4187,ASCII,,N/A,StageID,117
RECIPE_STEP,4188,UINT_1,,N/A,RecipeStepNumber,118
MEASUREMENT_MAX,4200,LIST,,N/A,Measurement_Max,119
BONDSHIFT_DATA,4300,LIST,,N/A,BondShift_Data,120
HUMP_DATA,4301,LIST,,N/A,Hump_Data,121
GLUEUNDERCUT_DATA,4302,LIST,,N/A,GlueUndercut_Data,122
