//Name,ID,DataType,Length,Unit,Remark,SeqNo
EQUIPMENTSTATUS,1998,UINT_1,,,Identifier for the equipment status,1
RECIPEID,1999,ASCII,,,Identifier for the recipe id,2
CARRIERID,2000,ASCII,,,Identifier for the carrier,3
PORTID,2001,UINT_1,,,Identifier for the load port,4
ACCESSMODE,2002,UINT_1,,,The access mode of the load port,5
SLOTMAPSTATUS,2003,UINT_1,,,Slotmap status of the carrier,6
PORTTRANSFERSTATE,2005,UINT_1,,,The current transfer state of the load port,7
LOADPORT1_ACCESSMODE,2006,UINT_1,,,The access mode of the load port 1,8
LOADPORT2_ACCESSMODE,2007,UINT_1,,,The access mode of the load port 2,9
LOADPORT1_PORTTRANSFERSTATE,2008,UINT_1,,,The current transfer state of the load port 1,10
LOADPORT2_PORTTRANSFERSTATE,2009,UINT_1,,,The current transfer state of the load port 2,11
SLOTMAP_LIST,2010,LIST,,,The slotmap of a carrier,12
REASON,2013,UINT_1,,,Reason for asking the host to proceed with a carrier (slotmap verification),13
LOADPORT1_RECIPE,2014,ASCII,,,The recipe of the load port 1,14
LOADPORT2_RECIPE,2015,ASCII,,,The recipe of the load port 2,15
SLOTMAP_1,3001,UINT_1,,,SlotMap_1,16
SLOTMAP_2,3002,UINT_1,,,SlotMap_2,17
SLOTMAP_3,3003,UINT_1,,,SlotMap_3,18
SLOTMAP_4,3004,UINT_1,,,SlotMap_4,19
SLOTMAP_5,3005,UINT_1,,,SlotMap_5,20
SLOTMAP_6,3006,UINT_1,,,SlotMap_6,21
SLOTMAP_7,3007,UINT_1,,,SlotMap_7,22
SLOTMAP_8,3008,UINT_1,,,SlotMap_8,23
SLOTMAP_9,3009,UINT_1,,,SlotMap_9,24
SLOTMAP_10,3010,UINT_1,,,SlotMap_10,25
SLOTMAP_11,3011,UINT_1,,,SlotMap_11,26
SLOTMAP_12,3012,UINT_1,,,SlotMap_12,27
SLOTMAP_13,3013,UINT_1,,,SlotMap_13,28
SLOTMAP_14,3014,UINT_1,,,SlotMap_14,29
