20260213085237,TEST12345,1,1,116,2049
20260213085250,TEST12345,1,45,116,2049
20260213085251,TEST12345,1,90,116,2049
20260213085253,TEST12345,1,135,116,2049
20260213085254,TEST12345,1,180,116,2049
20260213085256,TEST12345,1,225,116,2049
20260213085257,TEST12345,1,270,116,2049
20260213085258,TEST12345,1,315,116,2049
20260213085834,TEST12345,2,1,116,2049
20260213085836,TEST12345,2,45,116,2049
20260213085837,TEST12345,2,90,116,2049
20260213085838,TEST12345,2,135,116,2049
20260213085839,TEST12345,2,180,116,2049
20260213085840,TEST12345,2,225,116,2049
20260213085842,TEST12345,2,270,116,2049
20260213085843,TEST12345,2,315,116,2049
20260213085859,TEST12345,3,1,116,2049
20260213085900,TEST12345,3,45,116,2049
20260213085901,TEST12345,3,90,116,2049
20260213085903,TEST12345,3,135,116,2049
20260213085904,TEST12345,3,180,116,2049
20260213085905,TEST12345,3,225,116,2049
20260213085906,TEST12345,3,270,116,2049
20260213085908,TEST12345,3,315,116,2049
20260213085919,TEST12345,4,1,116,2049
20260213085920,TEST12345,4,45,116,2049
20260213085921,TEST12345,4,90,116,2049
20260213085922,TEST12345,4,135,116,2049
20260213085924,TEST12345,4,180,116,2049
20260213085925,TEST12345,4,225,116,2049
20260213085926,TEST12345,4,270,116,2049
20260213085927,TEST12345,4,315,116,2049
20260213110725,TEST12345,1,1,116,2049
20260213110735,TEST12345,1,45,116,2049
20260213110736,TEST12345,1,90,116,2049
20260213110738,TEST12345,1,135,116,2049
20260213110739,TEST12345,1,180,116,2049
20260213110741,TEST12345,1,225,116,2049
20260213110742,TEST12345,1,270,116,2049
20260213110743,TEST12345,1,315,116,2049
20260213111546,TEST12345,2,1,116,2049
20260213111547,TEST12345,2,45,116,2049
20260213111548,TEST12345,2,90,116,2049
20260213111549,TEST12345,2,135,116,2049
20260213111551,TEST12345,2,180,116,2049
20260213111552,TEST12345,2,225,116,2049
20260213111553,TEST12345,2,270,116,2049
20260213111554,TEST12345,2,315,116,2049
20260213111924,TEST12345,3,1,116,2049
20260213111926,TEST12345,3,45,116,2049
20260213111927,TEST12345,3,90,116,2049
20260213111928,TEST12345,3,135,116,2049
20260213111929,TEST12345,3,180,116,2049
20260213111930,TEST12345,3,225,116,2049
20260213111932,TEST12345,3,270,116,2049
20260213111933,TEST12345,3,315,116,2049
20260213111945,TEST12345,4,1,116,2049
20260213111946,TEST12345,4,45,116,2049
20260213111947,TEST12345,4,90,116,2049
20260213111949,TEST12345,4,135,116,2049
20260213111950,TEST12345,4,180,116,2049
20260213111951,TEST12345,4,225,116,2049
20260213111952,TEST12345,4,270,116,2049
20260213111954,TEST12345,4,315,116,2049
20260213133446,TEST12345,1,1,116,2049
20260213133458,TEST12345,1,45,116,2049
20260213133500,TEST12345,1,90,116,2049
20260213133501,TEST12345,1,135,116,2049
20260213133503,TEST12345,1,180,116,2049
20260213133504,TEST12345,1,225,116,2049
20260213133506,TEST12345,1,270,116,2049
20260213133507,TEST12345,1,315,116,2049
20260213133600,TEST12345,2,1,116,2049
20260213133601,TEST12345,2,45,116,2049
20260213133604,TEST12345,2,90,116,2049
20260213133605,TEST12345,2,135,116,2049
20260213133606,TEST12345,2,180,116,2049
20260213133607,TEST12345,2,225,116,2049
20260213133608,TEST12345,2,270,116,2049
20260213133610,TEST12345,2,315,116,2049
20260213133642,TEST12345,3,1,116,2049
20260213133643,TEST12345,3,45,116,2049
20260213133644,TEST12345,3,90,116,2049
20260213133645,TEST12345,3,135,116,2049
20260213133647,TEST12345,3,180,116,2049
20260213133648,TEST12345,3,225,116,2049
20260213133649,TEST12345,3,270,116,2049
20260213133650,TEST12345,3,315,116,2049
20260213133702,TEST12345,4,1,116,2049
20260213133704,TEST12345,4,45,116,2049
20260213133705,TEST12345,4,90,116,2049
20260213133706,TEST12345,4,135,116,2049
20260213133707,TEST12345,4,180,116,2049
20260213133709,TEST12345,4,225,116,2049
20260213133710,TEST12345,4,270,116,2049
20260213133711,TEST12345,4,315,116,2049
