// Alarm Init,,,,
//,3,,,
// Name,ID,CD,Enabled,Text
Sorter - IP conflict,10236,,1,Sorter - IP衝突
Sorter - Port error,10237,,1,Sorter - Port 錯誤
Sorter - Servere establishment failed,10238,,1,Sorter - Servere建立失敗
Sorter - Client connection failed,10239,,1,Sorter - Client連線失敗
Sorter - Pen Side Moter X Error ,10240,,1,Sorter - 吸筆X軸馬達異常
Sorter - Pen Side Moter Y Error ,10241,,1,Sorter - 吸筆Y軸馬達異常
Sorter - Pen Side Moter Z Error ,10242,,1,Sorter - 吸筆Z軸馬達異常
Sorter - Under side Moter T Error ,10243,,1,Sorter - 底盤Y向馬達異常
Sorter - Inbound and outbound detection detected objects,10244,,1,Sorter - 入出站檢偵測到物體
Sorter - Abnormal height of pen,10245,,1,Sorter - 吸筆高度異常
Sorter - Servo motor not Servo On,10246,,1,Sorter - CV馬達異常
Sorter - Servere establishment failed,10247,,1,Sorter - 伺服馬達未Servo On
Sorter - Call Unloader go to swap area fail,10248,,1,Sorter - 呼叫 Unloader 去交換區 失敗
Sorter - Execute UnloadBoat fail,10249,,1,Sorter - 執行 UnLoadBoat 失敗
Sorter - Find warping in OK area,10250,,1,Sorter - OK區發現翹料
Sorter - Find warping in NG area,10251,,1,Sorter - NG區發現翹料
Sorter - Find warping in ST area,10252,,1,Sorter - ST區發現翹料
Unloader - Rail door inspection abnormal,10401,,1,Unloader - 門檢異常
Unloader - The emergency stop was pressed.,10402,,1,Unloader - 緊急停止被按下。
Unloader - Air Pressure Low(X02),10403,,1,Unloader - 氣壓不足(X02)。
Unloader - Jaws cylinder abnormal (X03),10404,,1,Unloader - 夾爪氣缸動檢(X03)-異常。
Unloader - Jaws cylinder abnormal (X04),10405,,1,Unloader - 夾爪氣缸原點檢(X04)-異常。
Unloader - Jaws cylinder X side abnormal (X05),10406,,1,Unloader - 夾爪X軸氣缸動檢(X05)-異常。
Unloader - Jaws cylinder X side abnormal (X06),10407,,1,Unloader - 夾爪X軸氣缸原點檢(X06)-異常。
Unloader - Jaws cylinder Z side abnormal (X07),10408,,1,Unloader - 夾爪Z軸氣缸動檢(X07)-異常。
Unloader - Jaws cylinder Z side abnormal (X08),10409,,1,Unloader - 夾爪Z軸氣缸原點檢(X08)-異常。
Unloader - Move stage cylinder abnormal (X09),10410,,1,Unloader - 移載汽缸動檢(X09)-異常。
Unloader - Move stage cylinder abnormal (X10),10411,,1,Unloader - 移載汽缸原點檢(X10)-異常。
Unloader - Boat fall down(X11),10412,,1,Unloader - Boat盤入料檢(X11)-異常。
Unloader - Boat fall down(X15),10413,,1,Unloader - Boat盤出料檢(X15)-異常。
Unloader - Track side CV motor error(X16),10414,,1,Unloader - Boat盤皮帶馬達(X16)-異常。
Unloader - Missing Magazine 1,10415,,1,Unloader - 料匣1到位檢(X17)-異常。
Unloader - Missing Magazine 2,10416,,1,Unloader - 料匣2到位檢(X18)-異常。
Unloader - Missing Magazine 3,10417,,1,Unloader - 料匣3到位檢(X19)-異常。
