//CEID,Name,Remark,SystemID
149,STS_AnySubstateSubStateToExtinction,(E90-SubstEvent) The Substrate transits from Any SUBSTRATE substate state to Extinction\Delete Substrate Object(Send by AP),149
150,STS_Processing_NoStateToNeedsProcessing,(E90-SubstEvent) The Substrate Object is instantiated and enters NEEDS PROCESSING state\Create Substrate Object(Send by AP),150
151,STS_Processing_ProcessingToInProcess,(E90-SubstEvent) The Substrate transits from NEEDS PROCESSING state to IN PROCESS state(Send by AP),151
152,STS_Processing_InProcessToProcessingComplete,(E90-SubstEvent) The Substrate transits from IN PROCESS state to PROCESSING COMPLETE state(Send by AP),152
153,STS_Processing_InProcessToNeedsProcessing,(E90-SubstEvent) The Substrate transits from IN PROCESS state to NEEDS PROCESSING state(Send by AP),153
161,STS_SubstLoc_UnOccupiedToOccupied,(E90-SubstLocEvent) The Substrate Location transits from UNOCCUPIED state to OCCUPIED state(Send by AP),161
162,STS_SubstLoc_OccupiedToUnOccupied,(E90-SubstLocEvent) The Substrate Location transits from OCCUPIED state to UNOCCUPIED state(Send by AP),162
181,CMS_NoStateToCarrier,(E87-CarrierEvent) The Carrier Object is instantiated\Create Carrier Object(Send by AP),181
182,CMS_NoStateToIDNotRead,(E87-CarrierEvent) The Carrier transits from not state to ID NOT READ state(Send by AP),182
183,CMS_NoStateToWaitingForHost,(E87-CarrierEvent) The Carrier transits from not state to WAITING FOR HOST state(Send by AP),183
184,CMS_NoStateToIDVerificationOk,(E87-CarrierEvent) The Carrier transits from not state to ID VERIFICATION OK state(Send by AP),184
185,CMS_NoStateToIDVerificationFailed,(E87-CarrierEvent) The Carrier transits from not state to ID VERIFICATION FAILED state(Send by AP),185
186,CMS_IDNotReadToIDVerificationOk,(E87-CarrierEvent) The Carrier transits from ID NOT READ state to ID VERIFICATION OK state(Send by AP),186
187,CMS_IDNotReadToWaitingForHost,(E87-CarrierEvent) The Carrier transits from ID NOT READ state to WAITING FOR HOST state(Send by AP),187
188,CMS_WaitingForHostToIDVerificationOk,(E87-CarrierEvent) The Carrier transits from WAITING FOR HOST state to ID VERIFICATION OK state(Send by AP),188
189,CMS_WaitingForHostToIDVerificationFailed,(E87-CarrierEvent) The Carrier transits from WAITING FOR HOST state to ID VERIFICATION FAILED state(Send by AP),189
190,CMS_IDNotReadToWaitingForHost_IDReaderIsNotInService,(E87-CarrierEvent) The Carrier transits from ID NOT READ state to WAITING FOR HOST state. BypassReadID variable is set to FALSE\ and a carrier is received when the id reader is not in service or not installed.(Send by AP),190
191,CMS_IDNotReadToIDVerificationOk_IDReaderIsNotInService,(E87-CarrierEvent) The Carrier transits from ID NOT READ state to ID VERIFICATION OK state. BypassReadID variable is set to TRUE\ and a carrier is received when the id reader is not in service or not installed.(Send by AP),191
192,CMS_NoStateToSlotMapNotRead,(E87-CarrierEvent) The Carrier transits from not state to SLOT MAP NOT READ state(Send by AP),192
193,CMS_SlotMapNotReadToSlotMapVerificationOk,(E87-CarrierEvent) The Carrier transits from SLOT MAP NOT READ state to SLOT MAP VERIFICATION OK state(Send by AP),193
194,CMS_SlotMapNotReadToWaitingForHost,(E87-CarrierEvent) The Carrier transits from SLOT MAP NOT READ state to WAITING FOR HOST state(Send by AP),194
195,CMS_WaitingForHostToSlotMapVerificationOk,(E87-CarrierEvent) The Carrier transits from WAITING FOR HOST state to SLOT MAP VERIFICATION OK state(Send by AP),195
196,CMS_WaitingForHostToSlotMapVerificationFail,(E87-CarrierEvent) The Carrier transits from WAITING FOR HOST state to SLOT MAP VERIFICATION FAIL state(Send by AP),196
197,CMS_NoStateToNotAccessed,(E87-CarrierEvent) The Carrier Object is instantiated.(Send by AP),197
